Entity,Code,Year,Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Eating disorders (share of population) - Sex: Both - Age: Age-standardized
Afghanistan,AFG,1990,0.22320578,4.996118,4.713314,0.70302314,0.12770003
Afghanistan,AFG,1991,0.22245377,4.9892898,4.7021,0.7020688,0.123255946
Afghanistan,AFG,1992,0.22175121,4.9813457,4.683743,0.700792,0.11884415
Afghanistan,AFG,1993,0.22098725,4.9769583,4.6735487,0.70008695,0.11508888
Afghanistan,AFG,1994,0.22018303,4.977782,4.67081,0.6998978,0.11181468
Afghanistan,AFG,1995,0.2194088,4.978228,4.6681,0.6997684,0.10850699
Afghanistan,AFG,1996,0.21846454,4.981489,4.6657586,0.6996502,0.10526882
Afghanistan,AFG,1997,0.21728611,4.9875927,4.665013,0.69959736,0.10153082
Afghanistan,AFG,1998,0.21607415,4.9968576,4.6682405,0.69976467,0.09805014
Afghanistan,AFG,1999,0.21506761,5.004257,4.6735573,0.700054,0.095722646
Afghanistan,AFG,2000,0.21451464,5.0084476,4.6768804,0.70025194,0.09487554
Afghanistan,AFG,2001,0.21431455,5.0038724,4.675786,0.70012945,0.09454673
Afghanistan,AFG,2002,0.21418841,4.994327,4.6720624,0.69977945,0.09481004
Afghanistan,AFG,2003,0.21409267,4.9817224,4.6718807,0.69960576,0.09498258
Afghanistan,AFG,2004,0.21406065,4.9731607,4.6727514,0.6995014,0.09553074
Afghanistan,AFG,2005,0.21409707,4.9658794,4.6736326,0.6994395,0.095989875
Afghanistan,AFG,2006,0.214259,4.96284,4.6780405,0.69953,0.09687539
Afghanistan,AFG,2007,0.21459809,4.9597197,4.682732,0.6995203,0.09869648
Afghanistan,AFG,2008,0.21502665,4.9531674,4.688263,0.69948006,0.100904115
Afghanistan,AFG,2009,0.21545461,4.9492145,4.695408,0.6994876,0.10303231
Afghanistan,AFG,2010,0.21580303,4.946899,4.701994,0.6994379,0.10496491
Afghanistan,AFG,2011,0.21621753,4.945379,4.715658,0.69939154,0.10716891
Afghanistan,AFG,2012,0.21681084,4.9445314,4.73926,0.69936365,0.109071545
Afghanistan,AFG,2013,0.21744443,4.9443674,4.7667584,0.6993666,0.11139344
Afghanistan,AFG,2014,0.21797295,4.944629,4.7931795,0.69947726,0.11349482
Afghanistan,AFG,2015,0.21826532,4.9447594,4.810425,0.69959515,0.115101844
Afghanistan,AFG,2016,0.21824437,4.9370723,4.8155184,0.69961786,0.1166165
Afghanistan,AFG,2017,0.2181385,4.930936,4.8165836,0.6996218,0.11712369
